username,userid,profile_location,created_at,text,retweet_count,source,coordinates,,
Steven Weldon,24010419,Portland,1/20/2023 23:44,@ShaunWolfgang Shaun continues to subscribe to his New Year‚Äôs resolution !! Good job buddy 20 days in!!,0,Twitter for iPhone,,,
Kathy Cook,1.35268E+18,Portland,1/20/2023 23:30,@sprinkles @HogwartsIsMyH36  Reading my horoscope so I can prepare myself for the New Year's vibes! #LunarNewYear,0,Twitter Web App,,,
Steven Weldon,24010419,Portland,1/20/2023 23:26,@ShaunWolfgang Shaun‚Äôs New Year‚Äôs resolution was to be more of an asshole lol,0,Twitter for iPhone,,,
Deborah Goldstein,1410772326,"Portland, OR",1/20/2023 23:22,"Thank you @amybscher for sharing this great article. I feel inspired to approach the new year with new energy. 

Al‚Ä?https://t.co/be2n51zzUf",0,Twitter for iPhone,,,
Don McIntosh,260828204,"Portland, Oregon",1/20/2023 23:00,"2023 is a new year, with new worker protections, in Oregon. Several key laws championed by the Oregon labor movemen‚Ä?https://t.co/EYpjqtviss",1,Buffer,,,
Tanya Seda,492567065,"Portland, OR",1/20/2023 23:00,#UC in 2023: 5 Predictions for the New Year | No Jitter https://t.co/CfJsi1f1XF,0,Twitter for iPhone,,,
Foodie,63533704,"Portland, OR",1/20/2023 23:00,Where to Celebrate Lunar New Year 2023 in Portland https://t.co/WQkXraqmHT https://t.co/Lf2K8ngiCq,0,dlvr.it,,,
Jason Vondersmith,9.39275E+17,"Portland, OR",1/20/2023 22:55,"Portland's Lan Su Chinese Garden prepares for Chinese New Year celebration, Jan. 21-Feb. 5. It's Year of the Rabbit‚Ä?https://t.co/WEpWxe8dZU",1,TweetDeck Web App,,,
Breaking PDX News,63202181,"Portland, Oregon",1/20/2023 22:50,"Mecury: Where to Celebrate Lunar New Year 2023 in Portland: Mama ƒê√∫t, Lan Su Chinese Garden, and More by EverOut St‚Ä?https://t.co/iVd4cXsEWO",0,dlvr.it,,,
KOIN News,18228178,"Portland, Oregon",1/20/2023 22:34,"#NEW: The Hillsboro Hops will make history when they take the field this year, thanks to a new member of their coac‚Ä?https://t.co/ToBmeu5TvC",0,SocialFlow,,,
GodfatherMinute,8.55255E+17,"Portland, OR",1/20/2023 22:32,MINUTE 101: Mikey &amp; the Gang leave Superman behind to attend a New Year's party at the swanky Palacio presidencial!‚Ä?https://t.co/0D3tMAIXBQ,0,Twitter Web App,,,
Powell's Books,15447034,"Portland, OR",1/20/2023 22:21,"It's time for #FiveBookFriday!
Lunar New Year is this Sunday. Welcome the Year of the Rabbit with a collection of r‚Ä?https://t.co/s0aUFOxvJn",2,Twitter Web App,,,
Veronica Lacquement,2531087982,"Portland, OR",1/20/2023 22:10,"We have till Feb 15th to find and move in to a new place. Unlike last year, Kurtis no longer is on 20 hours OT. We‚Ä?https://t.co/1rQSNvVm0N",1,Twitter Web App,,,
DataSafe Inc.,8.14208E+17,"Tigard, OR",1/20/2023 21:52,Start the new year out right and get rid of all that paper sitting around your office. Call 503-620-3423 for one-ti‚Ä?https://t.co/U4jZtKRTbh,0,Gain Platform,,,
That Guy From Oregon,19727934,"Oregon, USA",1/20/2023 21:37,@Nike picked up a new tail number for their Gulfstream jet. Database hasn't been updated yet &amp; at first I thought a‚Ä?https://t.co/KWKfiMJlY0,0,Twitter for Android,,,
Mike Benner,37155696,"Portland, OR",1/20/2023 21:33,Just in - @HillsboroHops name a new manager .. her name is Ronnie Gajownik. She was video coordinator for the Hops‚Ä?https://t.co/Ns8ZAGyf9H,1,Twitter for iPhone,,,
Wilner: Republican fascists love the Big Lie,344247978,"Portland, OR ",1/20/2023 21:32,"@hobbitmuse Plenty of time?  Today is Friday, and the Year of the Rabbit begins on Sunday.
https://t.co/rpZHcoeInn",0,Twitter Web App,,,
All Classical Portland,77067999,"Portland, OR",1/20/2023 21:30,"As we begin an exciting new year together, you may hear a new voice on our airwaves. All Classical Portland is prou‚Ä?https://t.co/OgmUfGZTIx",0,Sprout Social,,,
Wilner: Republican fascists love the Big Lie,344247978,"Portland, OR ",1/20/2023 21:09,@Ireland0828 @Numbers28 @dremmelqueen @Shaeslife @missymccormick @betsybblue @customcore7 @CariCorbett100‚Ä?https://t.co/BcBVdZ7wuC,0,Twitter Web App,,,
Wilner: Republican fascists love the Big Lie,344247978,"Portland, OR ",1/20/2023 21:05,"@Numbers28  I haven't seen any messages from you.  Have you reduced your amount of time on Twitter, or is the new r‚Ä?https://t.co/0vwQyv33Cc",0,Twitter Web App,,,
TrustedReveler,345071070,"PDX, OR",1/20/2023 21:03,@POTUS More than 2/3 of my Twitter TL got laid off since new year. Read the room,0,Twitter for iPhone,,,
Wilner: Republican fascists love the Big Lie,344247978,"Portland, OR ",1/20/2023 20:58,"@hobbitmuse So...it looks like you're ready for ALL CAPS weekend.  Too bad the Republicans will be hiding, and prob‚Ä?https://t.co/r0KlYdHL3T",0,Twitter Web App,,,
Chelsea Wilkinson,2987620164,portland,1/20/2023 20:54,"If Lunar New Year becomes a federal holiday, everyone should get a red packet from the government üòã",1,Twitter Web App,,,
Portland Public Schools,403012191,"Portland, OR",1/20/2023 20:50,"Students at Rose City Park Elementary rang in the Vietnamese New Year with a Tet celebration.

Everyone loved the p‚Ä?https://t.co/YZQKufr7sp",0,Twitter Web App,,,
Kevin Concepts,473593769,"Portland, OR",1/20/2023 20:31,Stay tuned as we share more clips of the virtual panel with @footlocker for Lunar New Year. üßßüêá https://t.co/0QlIucbqFN,0,Twitter for iPhone,,,
Kevin Concepts,473593769,"Portland, OR",1/20/2023 20:29,Celebrating T·∫øt/Lunar New Year with @footlocker ‚Äòs virtual panel alongside other Asian creatives. üßßüêá https://t.co/zEUWOXKaHX,5,Twitter for iPhone,,,
Ten four good buddy,1.38576E+18,Tigard Oregon,1/20/2023 20:18,"@RiteWabbit Lunar New Year 2023
Sunday, January 22
Probably nothing ...",0,Twitter for Android,,,
Sarah Madsen,2905633309,"Portland, OR",1/20/2023 20:07,"Good Morning, News: DC Debt Ceiling Dance Resumes, Lunar New Year Starts Sunday, and Measure 110? I Barely Know Her https://t.co/6muwyJwHvx",0,IFTTT,,,
First Tech Fed,188096594,"Beaverton, OR",1/20/2023 20:03,Looking to start a new career in the new year? We have some helpful tips from career coach Mary Blalock on finding‚Ä?https://t.co/Gm2ovZkEYp,0,HeyOrca,,,
The Portland Clinic,83202997,"Portland, OR",1/20/2023 20:00,The Lan Su @chinesegarden will be hosting a 16-day #LunarNewYear celebration beginning tomorrow to bring in the Yea‚Ä?https://t.co/FbIxdzodEJ,0,HeyOrca,,,
Liyv,2836083144,"Portland, OR",1/20/2023 19:53,"i need two years to release new music bc i have to make a Bad album before i make the Good album, and they each take a year.",0,Twitter Web App,,,
Breaking PDX News,63202181,"Portland, Oregon",1/20/2023 19:49,"Mecury: The Best Bang for Your Buck Events in Portland This Weekend: Jan 20-22, 2023: Chinese New Year Cultural Fai‚Ä?https://t.co/M6pASl0pOJ",0,dlvr.it,,,
Nightdive Studios,1327897952,"Portland, OR",1/20/2023 19:45,The GOG New Year Sale starts now. Save up to 85% off select Nightdive titles for a limited time.‚Ä?https://t.co/LrNBNcrYQj,6,Twitter Web App,,,
Christopher Kusek üö©{VARIFYED},7192292,"Portland, Oregon",1/20/2023 19:38,"I need to get a haircut today because I cannot get one tomorrow or in/around new years, so be sure to get your hair‚Ä?https://t.co/KDekQuodEH",0,TweetDeck,,,
Perkins & Co,53149785,"Portland, OR",1/20/2023 19:35,15 years and counting! We are thrilled to start the new year with another Most Admired award under our belt. A huge‚Ä?https://t.co/4uv7aysTzY,1,HubSpot,,,
David Menschel,540435194,"Portland, Oregon",1/20/2023 19:35,More New Yorkers have died of COVID in the past sixteen days than died of homicide all of last year. Of those two i‚Ä?https://t.co/WhOb12RwbQ,47,Twitter Web App,,,
Carlos Olin Montalvo III,169585114,"Portland, Oregon",1/20/2023 19:35,"Costco earned in over $4.2 billion in membership fees alone last year, up 9% percent from 2021 https://t.co/bk18zOvHoR",0,Twitter for iPhone,,,
kameel,434456000,"Portland, OR",1/20/2023 19:33,Checked a big goal off my list last year. Cheers to setting new goals to work on this year.,0,Twitter for iPhone,,,
Donald Bergin,1.05818E+18,"Oregon City, OR",1/20/2023 18:56,New Year New Boat! || Havoc In the Mediterranean - U-boat Gameplay https://t.co/5cBI39MbAi via @YouTube,0,Twitter for iPhone,,,
Breaking PDX News,63202181,"Portland, Oregon",1/20/2023 18:48,"Mecury: Good Morning, News: DC Debt Ceiling Dance Resumes, Lunar New Year Starts Sunday, and Measure 110? I Barely‚Ä?https://t.co/RKI9cweCSk",0,dlvr.it,,,
Breaking PDX News,63202181,"Portland, Oregon",1/20/2023 18:23,The 10 best-selling electric vehicles in Oregon of 2022 through October: New EV sales accelerated again last year a‚Ä?https://t.co/kBxAAiCjzR,0,dlvr.it,,,
Lan Su Chinese Garden,20566090,"Portland, Oregon",1/20/2023 18:22,Our Lunar New Year Celebration is tomorrow! üêâ Kick off your Year of the Rabbit with the two-week celebration here a‚Ä?https://t.co/pKxQGCOH1y,0,Twitter for iPhone,,,
VisionGift,306269445,"Portland, Oregon",1/20/2023 18:02,"Sunday is the Lunar New Year, the most important holiday in several East Asian countries, marking the start of the‚Ä?https://t.co/XPQ6x02B47",0,Hootsuite Inc.,,,
HollandBioScience,1.54177E+18,"Portland, Oregon",1/20/2023 18:00,"This new year, it's time to turn a new leaf and push out those green initiatives to lessen your carbon footprint! I‚Ä?https://t.co/r5ohnu7CSQ",0,RADAAR,,,
EverOut Portland,1.14403E+18,"Portland, OR",1/20/2023 18:00,"This weekend presents many opportunities for culture, community, and fun on the cheap, from the Chinese New Year Cu‚Ä?https://t.co/UEST7If3bC",1,Twitter Web App,,,
Foodie,63533704,"Portland, OR",1/20/2023 17:57,"Good Morning, News: DC Debt Ceiling Dance Resumes, Lunar New Year Starts Sunday, and Measure 110? I Barely Know Her‚Ä?https://t.co/MbLSCkZMki",0,dlvr.it,,,
The Columbian,15079397,"Vancouver, Washington",1/20/2023 17:50,"There‚Äôs something about the ritual of recess that calms 10-year-old Maiya Burton Cahn‚Äôs nerves.
Read more... https://t.co/2Tkm1DPxDM",0,SocialNewsDesk,,,
ShortDestroyers.eth üíôüè¥‚Äç‚ò†Ô∏èü¶çüê∫ü¶?1514827974490484744,"Portland, OR",1/20/2023 17:39,@WildTenkoTama @MechNFT üî• exactly right! We‚Äôre going to see a lot of awesome triple s games this year and those gam‚Ä?https://t.co/a5xcYRa78T,0,Twitter for iPhone,,,,
Portland Mercury üóû,5752542,"Portland, Oregon",1/20/2023 17:21,"‚Ä?Debt ceiling is BACK BAYBEEE
‚Ä?Measure 110? I barely know her.
‚Ä?And the dashed dreams of a puffy, socialist dog.‚Ä?https://t.co/AhnO3fJLkB",0,TweetDeck,,,
Junk King Portland,7.71415E+17,"Portland, OR",1/20/2023 17:02,"New year, new hobbies! Make space to do all the fun things you have planned for 2023 with a junk cleanout. üßò‚Äç‚ôÄÔ∏?
Wh‚Ä?https://t.co/20aFlLLYBc",0,Sendible,,,
KOIN News,18228178,"Portland, Oregon",1/20/2023 16:59,A Portland lion dance group is gearing up for a busy couple weeks as the Lunar New Year celebration begins Sunday a‚Ä?https://t.co/IwjASOD9zF,2,SocialFlow,,,
KGW News,14185814,"Portland, Oregon",1/20/2023 16:51,"This lunar year will be the Year of the Rabbit or the Year of the Cat, depending on where you live https://t.co/EF0TsxD5c9",1,SocialNewsDesk,,,
ReluctantCynic,15671215,"Portland, OR",1/20/2023 16:47,@SurenaXMarie I stuffed my Imposter Syndrome into a corner long enough to actually pitch an idea for a new nonprofi‚Ä?https://t.co/oH1aLKdmQt,0,Twitter Web App,,,
Portland Business Journal,17135038,"Portland, OR",1/20/2023 16:45,New EV sales accelerated again last year as more charging stations came online and Oregon remained one of the top s‚Ä?https://t.co/LbrUGoeMNb,1,True Anthem,,,
Mark in Portland,1.02264E+18,"Portland, OR",1/20/2023 16:36,No ‚Äòsexy‚Ä?women: China‚Äôs new internet crackdown on influencers and ex-criminals https://t.co/GIJRCArgS4 via @scmpnews,1,Twitter Web App,,,
Brian Vaerewyck,7.8632E+17,"Portland, OR",1/20/2023 16:26,A new year is a fresh opportunity to step up your #CyberSecurity efforts and protect your #SmallBusiness. Secure en‚Ä?https://t.co/wAYkNqDQFb,1,ReadyForSocial App,,,
Justin,1.12722E+18,"Wilsonville, OR",1/20/2023 16:25,"@RepJeffries L---O----L... Dems really need new gaslighting talking points.. Social Security, Medicare ect. are sta‚Ä?https://t.co/W1QhDgDuec",0,Twitter Web App,,,
Hanzo,203054733,"Portland, Oregon, USA",1/20/2023 16:06,Hanzo wishes everyone good luck for the new year! Happy #chinesenewyear #lunarnewyear https://t.co/UiTNghvDQh,0,HubSpot,,,
KGW News,14185814,"Portland, Oregon",1/20/2023 16:06,Here are the Lunar New Year events happening across the Portland area https://t.co/QcJbWjOLfb,0,SocialNewsDesk,,,
SnowShoe,126456232,"Portland, OR",1/20/2023 16:00,"Wishing you prosperity and wealth in 2023, the Year of the Rabbit. Happy Chinese New Year! #chinesenewyear2023 https://t.co/5fF8ZezKag",0,HubSpot,,,
KOIN News,18228178,"Portland, Oregon",1/20/2023 15:15,"The Lunar New Year, also known as the Chinese New Year, officially kicks off this Sunday.

Here are five events in‚Ä?https://t.co/YLzrkCwpia",1,SocialFlow,,,
ùó•ùó≤ùòÄùòÇùòÄùó†ùó≤ùó±,8.66738E+17,"Portland, Oregon",1/20/2023 14:56,"Join us for our first ENPC 6.0 Instructor Class of the New Year!

We are the Leader in Virtual Trauma Nursing Core‚Ä?https://t.co/ZgmwLCAgtA",0,Twitter Web App,,,
ùó•ùó≤ùòÄùòÇùòÄùó†ùó≤ùó±,8.66738E+17,"Portland, Oregon",1/20/2023 14:56,"Join us for our first ENPC 6.0 Instructor Class of the New Year!

We are the Leader in Virtual Trauma Nursing Core‚Ä?https://t.co/wJgPVg4TVp",0,LinkedIn,,,
Joshua,408878853,"Portland, OR",1/20/2023 14:20,"@KOINNews Portland pride has always been the same weekend as fathers day, for years and years and years. This is no‚Ä?https://t.co/qsaGT9L62X",0,Twitter for Android,,,
Jacq Adams,326072795,Somerset West,1/20/2023 14:06,"DAY 3 of the new school year and the Guy came home saying, ""We can't wait to get to the other grades. Grade 1 is to‚Ä?https://t.co/1GTYpqs9hB",0,Twitter for Android,,,
Jay Wang,1.22392E+18,"Portland, OR",1/20/2023 13:45,"@britishmuseum Happy Chinese Lunar New Year üôÉ
A museum can even get the most basic common sense wrong, or did you m‚Ä?https://t.co/qq7bJ9nG3H",0,Twitter for Android,,,
GRŒ©Œú,2480207455,"Portland, OR",1/20/2023 13:40,@djuric_zlatko So proud of this six-year-old! She learns something new everyday.,0,Twitter for iPhone,,,
Tom D'Amore,22537898,"Portland, Oregon",1/20/2023 13:00,"Happy Lunar New Year! D‚ÄôAmore Law Group wishes you peace, health, wealth, and prosperity during the Year of the Rab‚Ä?https://t.co/ZzEJQ1lfUG",0,Hootsuite Inc.,,,
dlvr.it demo,7.66018E+17,"Portland, OR",1/20/2023 10:36,Taiwan President Thanks Military in New Year's Message https://t.co/4EzLgEuESm,0,dlvr.it,,,
Alexa Nova,1.56095E+18,"Portland, OR",1/20/2023 10:25,New Year‚Äôs resolutions are so out they‚Äôre in üíÖüèª,0,Twitter for iPhone,,,
ShortDestroyers.eth üíôüè¥‚Äç‚ò†Ô∏èü¶çüê∫ü¶?1514827974490484744,"Portland, OR",1/20/2023 7:37,"And, as it turns out, many of those swaps have two year expirations.

Which should expire‚Ä?when?

Like now? At leas‚Ä?https://t.co/qj24k0NSzi",1,Twitter for iPhone,,,,
Chris Flanagan,7.11201E+17,"Portland, OR",1/20/2023 6:39,"@007__NIL @AWeissmann_ @Terrieristpups He can try, but that quickly becomes contempt of court.  The contempt findin‚Ä?https://t.co/ygWUG0ASq1",0,Twitter for Android,,,
Jaila Ellis | NW Vandals | Heritage Varsity BBall,449281382,"Vancouver, WA",1/20/2023 6:15,Starting the new year off right.. SYElite#NYSF #YouOweYou #NumberSix #comMit2theprocess #azgm #TeamAAG #syelite‚Ä?https://t.co/KysvrMy9gW,0,Twitter for iPhone,,,
Jaila Ellis | NW Vandals | Heritage Varsity BBall,449281382,"Vancouver, WA",1/20/2023 6:11,Starting the new year off right.. SYElite#NYSF #YouOweYou #NumberSix #comMit2theprocess #azgm #TeamAAG #syelite‚Ä?https://t.co/5Zap0WhBGI,0,Twitter for iPhone,,,
Canapii,1.30815E+18,Portland,1/20/2023 5:29,"Canapii wishes everyone joy, success, and prosperity as we hop into the year of the rabbit üêáüå∏ Happy Chinese New Yea‚Ä?https://t.co/rzVD8tEuGi",1,HubSpot,,,
Nic Cota,7.31995E+17,"Portland, OR",1/20/2023 4:59,"‚ÄúIn the time that the city has been working to build the six shelter sites, the county created nearly 500 new shelt‚Ä?https://t.co/RodhMwR7HF",0,Twitter for iPhone,,,
Vancouver Family Magazine,43022634,"Vancouver, WA, USA",1/20/2023 4:42,"This weekend: The Lightning Thief: The Percy Jackson Musical, Dragons Love Tacos, Lunar New Year Celebration &amp; more‚Ä?https://t.co/9Gk6ldN6eA",0,Twitter Web App,,,
dlvr.it demo,7.66018E+17,"Portland, OR",1/20/2023 4:35,"For Chinese Lunar New Year Tourists, Retailers Roll Out Rabbit Dances, Red Lanterns https://t.co/QN6sKAoQWC",0,dlvr.it,,,
God‚Äôs sleepiest soldier,525039319,Camas Washington,1/20/2023 4:33,"@znounouSince95 @ThePoniExpress Offensive lines take awhile to gel and they introduced two new starters, rookie qb‚Ä?https://t.co/zPcFGLwRCk",0,Twitter for iPhone,,,
Lovingkindness,3309936498,"Portland, OR",1/20/2023 3:41,We welcomed the Year of the Cat at the Thien Tam Orphanage. Happy New Year! #charity #donations #orphanage‚Ä?https://t.co/8uB5lnPxOg,0,Twitter for iPhone,,,
Breaking PDX News,63202181,"Portland, Oregon",1/20/2023 3:18,Nike lands deal with top California school after Under Armour deal sours: UC Berkeley has entered into a new sponso‚Ä?https://t.co/VaF4JmCbud,0,dlvr.it,,,
Eduardo,213343800,"Portland, OR",1/20/2023 3:05,"I've read two books this month. Wow! On track with this New Year resolution!
So far:

The Power of Now by‚Ä?https://t.co/PmRhIrSwdO",0,Twitter for Android,,,
PortlandCheap,2180999264,"Portland, OR",1/20/2023 2:42,Lunar New Year Celebration at the Milwaukie Community Center https://t.co/NuK5xYsOGA,0,PortlandCheap,,,
Cascade Spine & Injury Center,168832017,"Portland, Oregon",1/20/2023 2:14,"Are you looking for a healthy snack to keep your New Year‚Äôs resolution on track? 

‚úîÔ∏è Rice cakes with cottage chees‚Ä?https://t.co/6U72kO44Z1",0,Zoho Social,,,
Kurt Norman,179283753,"West Linn, OR",1/20/2023 2:00,Now is not the time to put your data and network at risk. A new year means new #Cybersecurity dangers. This guide t‚Ä?https://t.co/pIez39OqxP,0,Dynamic Signal,,,
EverOut Portland,1.14403E+18,"Portland, OR",1/20/2023 1:17,Celebrate Lunar New Year with events like the Chinese New Year Cultural Fair and Oregon 2023 Lunar New Year Celebra‚Ä?https://t.co/CViYUzcxwN,1,Twitter Web App,,,
Nico Seperas üá¨üá∑üè≥Ô∏è‚Äçüåàüá∫üá?474586509,"Portland, OR",1/20/2023 0:43,I know many of you were thinking ‚Äúwhat would jump start my new year?‚Ä? The Answer!  A NEW 2LP Pink vinyl by BANANAR‚Ä?https://t.co/6FBkIYT00x,0,Twitter for iPhone,,,,
Nico Seperas üá¨üá∑üè≥Ô∏è‚Äçüåàüá∫üá?474586509,"Portland, OR",1/20/2023 0:40,I know many of you were thinking ‚Äúwhat would jump start my new year?‚Ä? The Answer!  A new 2LP Pink vinyl by BANANAR‚Ä?https://t.co/ka4XfkpsDC,0,Twitter for iPhone,,,,
"Harvin TorresüêÄ, Anonymuncle",1.03121E+18,"Portland, OR",1/20/2023 0:21,@slutpilled I have $20 in cash that I got for lunar new year,0,Twitter for iPhone,,,
Valarie Smith,15150836,"Portland, OR",1/20/2023 0:12,@JZed1974 That‚Äôs helpful. My naturopath told me in August that there wouldn‚Äôt be anything after the bivalent for at‚Ä?https://t.co/378NrIEb0I,0,Twitter for iPhone,,,
üÖµüÖæüÜÅüÜÉüÖ∑üÖ¥üÖµüÖ∞üÖΩüÜÇ üéô,9.70509E+17,"Portland, OR",1/20/2023 0:08,"@c_wolff27 2 games below .500 due to having no bench scoring, having multiple injuries including our superstar, and‚Ä?https://t.co/Dnv8qd4z2m",0,Twitter for iPhone,,,
Nef ŸÜŸÅÿ±ÿ™Ÿäÿ™Ÿä ‚úçüè?486483341,"Portland, Oregon",1/19/2023 23:33,"@NorthStarThaGod Happy baby girl got to have her goodies! I‚Äôll send more next year and try some new colors, love family!!! Always! 3:33",0,Twitter for iPhone,,,,
Hillside Imports,1.02004E+18,"Portland, OR",1/19/2023 23:01,"Whether you are new to the Hillside Imports Family, or we've been keeping you on the road for years, we are so grat‚Ä?https://t.co/3C1Qdwfnsf",0,Thryv,,,
OregonBeerGoggles,1.00235E+18,"Portland, OR",1/19/2023 22:31,@BrewviesWthMatt @netflix I would totally buy my favorite shows/movies and stay subscribed to @Netflix. Infact it w‚Ä?https://t.co/YXU3F17kHb,0,Twitter for iPhone,,,
weird al,1159342620,"Portland, OR",1/19/2023 22:26,I‚Äôve said this before and I‚Äôll say it again: Girl Scouts would sell more cookies if they sold before the new year.‚Ä?https://t.co/Ju2cktb9N9,0,Twitter for iPhone,,,
Brewvies with Matt,8.14592E+17,"Portland, OR",1/19/2023 22:24,"A year or several year old film isn‚Äôt going to attract new subscribers. Why can‚Äôt I buy a copy of:
-The Harder They‚Ä?https://t.co/MdMo7SDez7",0,Twitter for iPhone,,,
DoPDX,278745649,"Portland, OR",1/19/2023 22:08,The Lunar New Year is around the corner. Celebrate with events around the city including the annual Lan Su‚Ä?https://t.co/3Lt5eYdScE,0,Twitter Web App,,,
Oregon Forest Resources Institute (OFRI),4192656614,"Portland, OR",1/19/2023 22:01,"Getting in shape is a common New Year's resolution, but how about combining that with the Japanese practice of ""for‚Ä?https://t.co/HBMZbzp1Bj",0,Hootsuite Inc.,,,
Bill Mudron,18518084,"Portland, OR",1/19/2023 21:56,Especially after every new year when postal rates inevitably shift and what little you're making with every sale mi‚Ä?https://t.co/D3jPgIdIQb,0,Twitter Web App,,,
Symbeo,1.24254E+18,"Portland, OR",1/19/2023 21:51,"""All that volume underscores a critical need for upgrades and innovations across #AP systems, many of which still r‚Ä?https://t.co/hbL3PrA8nu",0,Twitter Web App,,,
Lan Su Chinese Garden,20566090,"Portland, Oregon",1/19/2023 21:20,"We're gearing up!

Portland's Lan Su Chinese Garden prepares for Lunar New Year celebration https://t.co/PIlcldPt1z",0,Twitter Web App,,,
Lan Su Chinese Garden,20566090,"Portland, Oregon",1/19/2023 21:19,"Read to see our feature on KGW and learn about the garden's Lunar New Year celebration!

Here are the Lunar New Yea‚Ä?https://t.co/3WV4STT4RV",0,Twitter Web App,,,
Portland Jobs,18910714,"Portland, Oregon",1/19/2023 21:17,. @Ecology4Kids in Classrooms &amp; Outdoors is seeking a new Executive Director to lead the 18-year-old organization t‚Ä?https://t.co/2uSoloMFLD,1,Twitter Web App,,,
Justin Fowler,90572210,"Portland, OR",1/19/2023 20:58,Their Outpost is one of my favorite new infill housing projects in the city. @brianlibby featured it in Metropolis‚Ä?https://t.co/6Lrt39TFob,0,Twitter Web App,,,
Becca Seitz,17902359,"Portland, OR",1/19/2023 20:01,Happy Lunar New Year of the Yin Water Rabbit! : https://t.co/nijMZWfF8m,0,Hootsuite Inc.,,,
Pamela Fabrega,361022287,"Portland, Oregon",1/19/2023 19:56,Check out this listing I just added to my #Poshmark closet: RARE Nike Kyrie 5 ‚ÄúChinese New Year‚Ä?w/Traditional Bai‚Ä?https://t.co/KbHZ6q4Rrz,0,Poshmark,,,
ùï§ùïíùï£ùïíùïô ùïñùïùùï†ùïüùïòùïíùï•ùïñùïï ùïúùïöùï•ùïñü™Å,2322653682,"Portland, Oregon, USA",1/19/2023 19:34,so far this year I‚Äôm a complete fuck up in terms of hair appointments. Had a haircut scheduled today (missed it on‚Ä?https://t.co/fH01ciDTWb,0,Twitter for iPhone,,,
Marty Matheny,10106992,"Portland, OR",1/19/2023 19:27,One thing is certain: 2023 will be burned into the memories of those impacted by layoffs as one of the major challe‚Ä?https://t.co/kVBb6GypH9,0,Twitter for iPhone,,,
David Menschel,540435194,"Portland, Oregon",1/19/2023 19:25,"A new entry at the National Registry of Exonerations: Elvis Brooks exonerated last year. At the time of trial, in 1‚Ä?https://t.co/NuFvJ65DFz",2,Twitter Web App,,,
GalaxyNova üîú GalaxyNova day üååüåå üéÇ,807405140,"Portland, OR",1/19/2023 19:21,dva and mei lunar new year backgrounds i took but figured i had to take screenshots of them both and figured i use‚Ä?https://t.co/L1xR2Zb7i1,0,Twitter Web App,,,
Steve Thompson,149652971,"Lake Oswego, OR",1/19/2023 19:16,@OtisandJames64 @WokeLifeMatters @ProfessorF @elonmusk @physorg_com @USC @PNASNews @RepAdamSchiff There's no upside‚Ä?https://t.co/zKtKFKfuVw,0,Twitter Web App,,,
Prosper Portland,19610099,"Portland, OR",1/19/2023 19:07,"Lunar New Year celebrations are taking place all over the city, celebrating the year of the rabbit üêá . We‚Äôve compil‚Ä?https://t.co/c8vCHJeoE5",3,Sprout Social,,,
"Jeph ""Peg Leg"" P√©rez",3288967681,"Portland, OR",1/19/2023 19:04,"Happy Maiden Voyage day, everyone!

A new year brings a new adventure as we continue to search for a cure for Tasha‚Ä?https://t.co/jkIv7BE44X",0,Twitter for iPhone,,,
ùìúùì¨ùìöùìÆùì∑ùì∑ùì™ ùìüùì™ùì∑ùì™ùìºùìÆùîÄùì≤ùì¨ùì± ü¶ã,2371254336,"Oregon City, OR",1/19/2023 18:40,"We haven‚Äôt had a single chill moment for a motherfucking YEAR. From losing our jobs, getting denied unemployment, g‚Ä?https://t.co/OEAzRp4Bb8",0,Twitter for iPhone,,,
Portland Monthly,33610571,"Portland, OR",1/19/2023 18:30,"Mark the holiday with dumplings, noodles, seafood, and more from Vietnam, China, and beyond.
https://t.co/cQORLzGAGl",0,HubSpot,,,
Hunger For Success,2919078836,"Vancouver, WA",1/19/2023 18:22,Making a professional journal can make your new year meaningful. Join us on our FREE podcast. Find us on YouTube:‚Ä?https://t.co/dDtwDwfZgA,0,Buffer,,,
Sydney üè≥Ô∏è‚Äç‚ößÔ∏?Add TLS on Goodreads!!,1.16679E+18,"Portland, OR",1/19/2023 18:16,"I‚Äôve made the responsible decision to only commission new art to celebrate certain achievements (which, unfortunate‚Ä?https://t.co/QoN11MGgYT",0,Twitter for iPhone,,,
Mercedes Lilienthal,1.36692E+18,"Portland, Oregon",1/19/2023 18:15,"Just took a long-haul flight, plus another one, and landed somewhere new (been to this country before, just not to‚Ä?https://t.co/z7uRtGK9Fy",0,Twitter for Android,,,
Brady Evan Walker | MakersPlace,1.1193E+18,"Portland, OR",1/19/2023 18:03,"Leaving New York/Landing in Portland
 
I'm writing this, though not publishing this, on the 1-year anniversary of l‚Ä?https://t.co/F1iS44MiTV",0,Hypefury,,,
Atiyeh Bros.,7.66386E+17,"Portland, OR",1/19/2023 17:47,"It‚Äôs always a fun party when Don is showcasing rugs!! Check out our NEW YEAR RUGS: https://t.co/Q3MTzy3b6k

#rug‚Ä?https://t.co/XFTY1lmBx5",0,Twitter for iPhone,,,
kelsey devillier,321507165,Portland,1/19/2023 17:35,@SuiNSdapp Happy New Year 2023! üéâüéâüéâ,0,Twitter Web App,,,
üíïüß° Soundrop üíõüíô,244446710,"Portland, OR",1/19/2023 17:25,@duhemsounds Definitely looking to add new stores this year! We have some other initiatives as well but we can't quite say yet üòâ‚ù§Ô∏è,0,Twitter for Android,,,
